sep=,
"Rank","name","value"
1,tenzen-y,744
2,chensun,354
3,gkcalat,306
4,connor-mccarthy,294
5,linchin,269
6,andreyvelich,264
7,zijianjoy,259
8,alculquicondor,146
9,johnugeorge,96
10,jlyaoyuli,85
11,kimwnasptd,85
12,annajung,78
13,thesuperzapper,68
14,droctothorpe,58
15,surajkota,54
16,james-jwu,50
17,juliusvonkohout,42
18,jocstaa,38
19,mimowo,38
20,syulin7,37
21,jbottum,30
22,kuizhiqing,29
23,sen-sam,28
24,difince,27
25,tomcli,27
26,ananth102,26
27,deepanker13,26
28,tasos-ale,25
29,lowang-bh,24
30,orfeas-k,24
31,yhwang,24
32,nagar-ajay,23
33,terrytangyuan,21
34,dnplas,20
35,rd-pong,20
36,ryansteakley,20
37,apo-ger,19
38,cheyang,17
39,d-gol,17
40,xhejtman,17
41,ssheng,15
42,elenzio9,14
43,anencore94,11
44,sheevy,9
45,axel7083,8
46,votti,8
47,a9p,7
48,omrishiv,7
49,rpemsel,7
50,shipengcheng1230,7
51,tarat44,7
52,akgraner,6
53,zhixian82,6
54,ahg-g,5
55,deepk2u,5
56,domfleischmann,5
57,gaocegege,5
58,hegaoyuan,5
59,tobiasgoerke,5
60,afritzler,4
61,fischor,4
62,junggil,4
63,tkatila,4
64,adilhusain-s,3
65,alexandrebrown,3
66,b4sus,3
67,chaselyall,3
68,gmfrasca,3
69,rawc0der,3
70,tingshua-yts,3
71,umka1332,3
72,zw0610,3
73,andyi2it,2
74,ark-kun,2
75,axsaucedo,2
76,davidnet,2
77,diegolovison,2
78,happy2048,2
79,tzstoyanov,2
80,vsoch,2
81,yowenter,2
82,yuzisun,2
83,ahmedgrati,1
84,andreafehrman,1
85,awittzb,1
86,boarder7395,1
87,capkurmagati,1
88,chalin,1
89,congpeiqing,1
90,davidspek,1
91,denkensk,1
92,deukwoongwoo,1
93,dogukanutuna,1
94,helloericsf,1
95,jakesummers,1
96,kevin85421,1
97,kidddddddddddddddddddddd,1
98,larry-lu-lu,1
99,mgsousa,1
100,mvoitko,1
101,scrapcodes,1
102,shalberd,1
103,shaowei-su,1
104,simdynamic,1
105,theadactyl,1
106,trasc,1
107,yeahdongcn,1
108,yubozhao,1
109,zzmao,1

